Surge Multiplier,Elasticity,Percent Change in Price,Percent Change in Demand,Total Original Demand,Total Demand After Drop-off,Total Simulated Revenue
1.5x,-0.4,0.50,-0.20,"94,862.50","75,890.00","17,075,250.14"
1.5x,-0.5,0.50,-0.25,"94,862.50","71,146.88","16,008,047.00"
1.5x,-0.6,0.50,-0.30,"94,862.50","66,403.75","14,940,843.87"
1.8x,-0.4,0.80,-0.32,"94,862.50","64,506.50","17,416,755.14"
1.8x,-0.5,0.80,-0.40,"94,862.50","56,917.50","15,367,725.12"
1.8x,-0.6,0.80,-0.48,"94,862.50","49,328.50","13,318,695.11"
